hand,run,attempt,leaf,gt_leaf,outcome,complete,fraction,modulus,force_target,offset_normal,offset_across,terminal_turn_raw,terminal_turn_folded,legacy_turn_excluded,sensor_swing,sensor_turn,peak_force
shadow,iaS_off_n-0.015,2,patch_10,leaf_3_9__4_9,complete,True,0.55,30000.0,2.0,-0.015,0.0,49.6,49.6,False,,,5.455
shadow,iaS_off_n-0.03,0,patch_11,leaf_3_9__4_9,complete,True,0.55,30000.0,2.0,-0.03,0.0,111.6,68.4,True,,,5.447
shadow,iaS_off_n-0.03,1,patch_4,leaf_4_3__4_9,complete,True,0.55,30000.0,2.0,-0.03,0.0,39.9,39.9,False,,,4.299
shadow,iaS_off_n-0.03,2,patch_1,leaf_4_9__3_9,"probe timeout (contact 0.0 s, frames 0)",False,0.55,30000.0,2.0,-0.03,0.0,0.1,0.1,False,,,0.823
shadow,iaS_off_n0.015,0,patch_4,leaf_4_3__4_9,complete,True,0.55,30000.0,2.0,0.015,0.0,161.3,18.69999999999999,False,,,3.279
shadow,iaS_off_n0.015,1,patch_10,leaf_3_9__4_9,complete,True,0.55,30000.0,2.0,0.015,0.0,33.1,33.1,False,,,3.158
shadow,iaS_off_n0.015,2,patch_1,leaf_4_9__3_9,"probe timeout (contact 0.0 s, frames 0)",False,0.55,30000.0,2.0,0.015,0.0,2.8,2.8,False,,,2.038
shadow,iaS_off_n0.03,0,patch_4,leaf_4_3__4_9,complete,True,0.55,30000.0,2.0,0.03,0.0,144.2,35.80000000000001,False,,,3.429
shadow,iaS_off_n0.03,1,patch_10,leaf_3_9__4_9,complete,True,0.55,30000.0,2.0,0.03,0.0,13.2,13.2,False,,,3.266
shadow,iaS_off_n0.03,2,patch_1,leaf_4_9__3_9,"probe timeout (contact 0.0 s, frames 0)",False,0.55,30000.0,2.0,0.03,0.0,0.1,0.1,False,,,2.049
shadow,iaS_off_x-0.02,0,patch_11,leaf_2_9__3_7,no pinch (gripper closed without loading the pads),False,0.55,30000.0,2.0,0.0,-0.02,0.0,0.0,False,,,0.002
shadow,iaS_off_x-0.02,1,patch_4,leaf_4_3__4_9,complete,True,0.55,30000.0,2.0,0.0,-0.02,170.8,9.199999999999989,False,,,3.399
shadow,iaS_off_x-0.02,2,patch_10,leaf_3_9__4_9,"probe timeout (contact 0.0 s, frames 0)",False,0.55,30000.0,2.0,0.0,-0.02,128.2,51.80000000000001,False,,,2.706
shadow,iaS_off_x0.02,0,patch_11,leaf_2_9__3_7,no pinch (gripper closed without loading the pads),False,0.55,30000.0,2.0,0.0,0.02,0.0,0.0,False,,,0.002
shadow,iaS_off_x0.02,1,patch_4,leaf_4_3__4_9,complete,True,0.55,30000.0,2.0,0.0,0.02,126.1,53.900000000000006,False,,,3.127
shadow,iaS_off_x0.02,2,patch_10,leaf_3_9__4_9,complete,True,0.55,30000.0,2.0,0.0,0.02,28.6,28.6,False,,,3.758
